sample_id,scenario,mechanism,sample_path,runtime_status,analysis_status,quality_status,quality_reason,duration_seconds,png_count,has_rag_stats,tracked_bytes,omitted_raw_artifact_bytes,omitted_raw_artifact_files
AnchoringEffect__Rule,AnchoringEffect,Rule,samples/AnchoringEffect/Rule,runtime_success_full_200_level2_audited,analysis_complete,accepted,,40.002,4,no,27258,7008292,1396
AnchoringEffect__LLM,AnchoringEffect,LLM,samples/AnchoringEffect/LLM,runtime_success_full_200_level2_audited,analysis_complete,accepted,,10180.556,4,no,28173,11202268,1400
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,samples/AnchoringEffect/RuleLLM,runtime_success_full_200_level2_audited,analysis_complete,accepted,,16070.899,4,no,30739,11462612,1395
AnchoringEffect__Rag,AnchoringEffect,Rag,samples/AnchoringEffect/Rag,runtime_success_full_200_level2_audited,analysis_complete,accepted,,16000.899,4,yes,51480,73281161,1406
ArchegosCollapse__Rule,ArchegosCollapse,Rule,samples/ArchegosCollapse/Rule,runtime_success_full_200_level2_audited,analysis_complete,accepted,,40.003,4,no,26958,6267803,1118
ArchegosCollapse__LLM,ArchegosCollapse,LLM,samples/ArchegosCollapse/LLM,runtime_success_full_200_level2_audited,analysis_complete,accepted,,3970.216,4,no,27054,10018691,1119
ArchegosCollapse__RuleLLM,ArchegosCollapse,RuleLLM,samples/ArchegosCollapse/RuleLLM,runtime_success_full_200_level2_audited,analysis_complete,accepted,,2520.138,4,no,27967,9501512,1118
ArchegosCollapse__Rag,ArchegosCollapse,Rag,samples/ArchegosCollapse/Rag,runtime_success_full_200_level2_audited,analysis_complete,accepted,,6820.389,4,yes,37744,53139493,1124
AsianFinancialCrisis__Rule,AsianFinancialCrisis,Rule,samples/AsianFinancialCrisis/Rule,runtime_success_full_200_level2_audited,analysis_complete,accepted,,40.002,4,no,25980,7370666,1519
AsianFinancialCrisis__LLM,AsianFinancialCrisis,LLM,samples/AsianFinancialCrisis/LLM,runtime_success_full_200_level2_audited,analysis_complete,accepted,,3370.2,4,no,26882,13186625,1542
AsianFinancialCrisis__RuleLLM,AsianFinancialCrisis,RuleLLM,samples/AsianFinancialCrisis/RuleLLM,runtime_success_full_200_level2_audited,analysis_complete,accepted,,3130.181,4,no,25387,12659935,1541
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,samples/AsianFinancialCrisis/Rag,runtime_success_full_200_level2_audited,analysis_complete,accepted,,3200.216,4,yes,34238,93079543,1548
AssetBubble__Rule,AssetBubble,Rule,samples/AssetBubble/Rule,runtime_success_full_200_level2_audited,analysis_complete,accepted,,80.004,4,no,28276,16111797,2796
