sample_id,scenario,mechanism,metric,value
AnchoringEffect__Rule,AnchoringEffect,Rule,bias_magnitude_pct,3.2565
AnchoringEffect__Rule,AnchoringEffect,Rule,half_life_rounds,6.0
AnchoringEffect__Rule,AnchoringEffect,Rule,mad_pct,2.8336
AnchoringEffect__Rule,AnchoringEffect,Rule,max_drawdown_pct,-6.5866
AnchoringEffect__Rule,AnchoringEffect,Rule,mean_rolling_vol_pct,0.4878
AnchoringEffect__Rule,AnchoringEffect,Rule,return_autocorr_lag1,0.0727
AnchoringEffect__LLM,AnchoringEffect,LLM,bias_magnitude_pct,3.1798
AnchoringEffect__LLM,AnchoringEffect,LLM,half_life_rounds,1.0
AnchoringEffect__LLM,AnchoringEffect,LLM,mad_pct,2.5629
AnchoringEffect__LLM,AnchoringEffect,LLM,max_drawdown_pct,-10.8901
AnchoringEffect__LLM,AnchoringEffect,LLM,mean_rolling_vol_pct,2.1517
AnchoringEffect__LLM,AnchoringEffect,LLM,return_autocorr_lag1,0.0229
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,bias_magnitude_pct,3.7059
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,half_life_rounds,6.0
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,mad_pct,1.6934
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,max_drawdown_pct,-10.8332
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,mean_rolling_vol_pct,1.2524
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,return_autocorr_lag1,-0.1843
AnchoringEffect__Rag,AnchoringEffect,Rag,bias_magnitude_pct,2.9293
AnchoringEffect__Rag,AnchoringEffect,Rag,half_life_rounds,2.0
AnchoringEffect__Rag,AnchoringEffect,Rag,mad_pct,1.745
AnchoringEffect__Rag,AnchoringEffect,Rag,max_drawdown_pct,-11.5875
AnchoringEffect__Rag,AnchoringEffect,Rag,mean_rolling_vol_pct,2.4455
AnchoringEffect__Rag,AnchoringEffect,Rag,return_autocorr_lag1,-0.4968
ArchegosCollapse__Rule,ArchegosCollapse,Rule,cascade_onset_round,
ArchegosCollapse__Rule,ArchegosCollapse,Rule,max_drawdown_pct,0.3004
ArchegosCollapse__Rule,ArchegosCollapse,Rule,peak_rolling_vol_pct,0.0234
ArchegosCollapse__Rule,ArchegosCollapse,Rule,return_autocorr_lag1,-0.101
ArchegosCollapse__LLM,ArchegosCollapse,LLM,cascade_onset_round,3
ArchegosCollapse__LLM,ArchegosCollapse,LLM,max_drawdown_pct,99.99
ArchegosCollapse__LLM,ArchegosCollapse,LLM,peak_rolling_vol_pct,40306364057.9238
ArchegosCollapse__LLM,ArchegosCollapse,LLM,return_autocorr_lag1,-0.0051
ArchegosCollapse__RuleLLM,ArchegosCollapse,RuleLLM,cascade_onset_round,85
ArchegosCollapse__RuleLLM,ArchegosCollapse,RuleLLM,max_drawdown_pct,99.99
ArchegosCollapse__RuleLLM,ArchegosCollapse,RuleLLM,peak_rolling_vol_pct,1889623481.7427
ArchegosCollapse__RuleLLM,ArchegosCollapse,RuleLLM,return_autocorr_lag1,-0.0051
ArchegosCollapse__Rag,ArchegosCollapse,Rag,cascade_onset_round,193
ArchegosCollapse__Rag,ArchegosCollapse,Rag,max_drawdown_pct,99.99
ArchegosCollapse__Rag,ArchegosCollapse,Rag,peak_rolling_vol_pct,1727627317.6933
ArchegosCollapse__Rag,ArchegosCollapse,Rag,return_autocorr_lag1,-0.0051
AsianFinancialCrisis__Rule,AsianFinancialCrisis,Rule,ac1_crisis_phase,1.0
AsianFinancialCrisis__Rule,AsianFinancialCrisis,Rule,crisis_onset_round,137
AsianFinancialCrisis__Rule,AsianFinancialCrisis,Rule,crisis_velocity_pct,68568206411.225
AsianFinancialCrisis__Rule,AsianFinancialCrisis,Rule,max_drawdown_pct,99.997
AsianFinancialCrisis__Rule,AsianFinancialCrisis,Rule,total_rounds,200
AsianFinancialCrisis__LLM,AsianFinancialCrisis,LLM,ac1_crisis_phase,0.9472
AsianFinancialCrisis__LLM,AsianFinancialCrisis,LLM,crisis_onset_round,150
AsianFinancialCrisis__LLM,AsianFinancialCrisis,LLM,crisis_velocity_pct,1.221638455648024e+180
AsianFinancialCrisis__LLM,AsianFinancialCrisis,LLM,max_drawdown_pct,100.0
AsianFinancialCrisis__LLM,AsianFinancialCrisis,LLM,total_rounds,200
AsianFinancialCrisis__RuleLLM,AsianFinancialCrisis,RuleLLM,ac1_crisis_phase,0.9998
AsianFinancialCrisis__RuleLLM,AsianFinancialCrisis,RuleLLM,crisis_onset_round,3
AsianFinancialCrisis__RuleLLM,AsianFinancialCrisis,RuleLLM,crisis_velocity_pct,914.149
AsianFinancialCrisis__RuleLLM,AsianFinancialCrisis,RuleLLM,max_drawdown_pct,85.076
AsianFinancialCrisis__RuleLLM,AsianFinancialCrisis,RuleLLM,total_rounds,200
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ac1_crisis_phase,0.948
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,crisis_onset_round,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,crisis_velocity_pct,114.22
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,max_drawdown_pct,75.066
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,total_rounds,200
AssetBubble__Rule,AssetBubble,Rule,crash_duration,106
AssetBubble__Rule,AssetBubble,Rule,max_bubble_magnitude,7134.8329
AssetBubble__Rule,AssetBubble,Rule,max_deviation_pct,62.4273
AssetBubble__Rule,AssetBubble,Rule,max_drawdown,-45.8877
AssetBubble__Rule,AssetBubble,Rule,peak_round,13
AssetBubble__Rule,AssetBubble,Rule,return_autocorr_lag1,0.8329
AssetBubble__Rule,AssetBubble,Rule,trough_round,119
AssetBubble__LLM,AssetBubble,LLM,crash_duration,4
AssetBubble__LLM,AssetBubble,LLM,max_bubble_magnitude,121.4374
AssetBubble__LLM,AssetBubble,LLM,max_deviation_pct,75.0416
AssetBubble__LLM,AssetBubble,LLM,max_drawdown,-99.4842
AssetBubble__LLM,AssetBubble,LLM,peak_round,2
AssetBubble__LLM,AssetBubble,LLM,return_autocorr_lag1,0.0189
AssetBubble__LLM,AssetBubble,LLM,trough_round,6
AssetBubble__RuleLLM,AssetBubble,RuleLLM,crash_duration,21
AssetBubble__RuleLLM,AssetBubble,RuleLLM,max_bubble_magnitude,763.2376
AssetBubble__RuleLLM,AssetBubble,RuleLLM,max_deviation_pct,18.3899
AssetBubble__RuleLLM,AssetBubble,RuleLLM,max_drawdown,-13.8057
AssetBubble__RuleLLM,AssetBubble,RuleLLM,peak_round,18
AssetBubble__RuleLLM,AssetBubble,RuleLLM,return_autocorr_lag1,0.615
AssetBubble__RuleLLM,AssetBubble,RuleLLM,trough_round,39
AssetBubble__Rag,AssetBubble,Rag,crash_duration,38
AssetBubble__Rag,AssetBubble,Rag,max_bubble_magnitude,975.1835
AssetBubble__Rag,AssetBubble,Rag,max_deviation_pct,20.1527
AssetBubble__Rag,AssetBubble,Rag,max_drawdown,-20.6173
AssetBubble__Rag,AssetBubble,Rag,peak_round,11
AssetBubble__Rag,AssetBubble,Rag,return_autocorr_lag1,0.5744
AssetBubble__Rag,AssetBubble,Rag,trough_round,49
AvailabilityBias__Rule,AvailabilityBias,Rule,ac1_bias_episode,0.725
AvailabilityBias__Rule,AvailabilityBias,Rule,bias_persistence,0.148
AvailabilityBias__Rule,AvailabilityBias,Rule,peak_deviation_pct,11.392
AvailabilityBias__Rule,AvailabilityBias,Rule,stabilization_ratio,5.1377
AvailabilityBias__Rule,AvailabilityBias,Rule,total_rounds,200
AvailabilityBias__LLM,AvailabilityBias,LLM,ac1_bias_episode,0.6905
AvailabilityBias__LLM,AvailabilityBias,LLM,bias_persistence,0.0204
AvailabilityBias__LLM,AvailabilityBias,LLM,peak_deviation_pct,8.024
AvailabilityBias__LLM,AvailabilityBias,LLM,stabilization_ratio,0.1429
AvailabilityBias__LLM,AvailabilityBias,LLM,total_rounds,200
AvailabilityBias__RuleLLM,AvailabilityBias,RuleLLM,ac1_bias_episode,0.7069
AvailabilityBias__RuleLLM,AvailabilityBias,RuleLLM,bias_persistence,0.1429
AvailabilityBias__RuleLLM,AvailabilityBias,RuleLLM,peak_deviation_pct,15.934
AvailabilityBias__RuleLLM,AvailabilityBias,RuleLLM,stabilization_ratio,7.9215
AvailabilityBias__RuleLLM,AvailabilityBias,RuleLLM,total_rounds,200
