sample_id,scenario,mechanism,agent,total_rag_rounds,retrieval_success_rounds,retrieval_failure_rounds,retrieval_failure_rate,mean_retrieval_failure_rate,max_retrieval_failure_rate
AnchoringEffect__Rag,AnchoringEffect,Rag,aggregate,,,,,0.0,0.0
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_anchored_1,200,200,0,0.0,,
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_anchored_2,200,200,0,0.0,,
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_historical_1,200,200,0,0.0,,
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_historical_2,200,200,0,0.0,,
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_momentum_1,200,200,0,0.0,,
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_momentum_2,200,200,0,0.0,,
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_noise_1,200,200,0,0.0,,
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_noise_2,200,200,0,0.0,,
AnchoringEffect__Rag,AnchoringEffect,Rag,ragllm_rational,200,200,0,0.0,,
ArchegosCollapse__Rag,ArchegosCollapse,Rag,aggregate,,,,,0.0,0.0
ArchegosCollapse__Rag,ArchegosCollapse,Rag,ragllm_block_trade_buyer,200,200,0,0.0,,
ArchegosCollapse__Rag,ArchegosCollapse,Rag,ragllm_concentrated_fund_1,200,200,0,0.0,,
ArchegosCollapse__Rag,ArchegosCollapse,Rag,ragllm_concentrated_fund_2,200,200,0,0.0,,
ArchegosCollapse__Rag,ArchegosCollapse,Rag,ragllm_information_trader_1,200,200,0,0.0,,
ArchegosCollapse__Rag,ArchegosCollapse,Rag,ragllm_information_trader_2,200,200,0,0.0,,
ArchegosCollapse__Rag,ArchegosCollapse,Rag,ragllm_prime_broker1,200,200,0,0.0,,
ArchegosCollapse__Rag,ArchegosCollapse,Rag,ragllm_prime_broker2,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,aggregate,,,,,0.0,0.0
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_contagion_trader_1,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_contagion_trader_2,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_hot_money_funder_1,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_hot_money_funder_2,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_imf_rescuer,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_noise_trader_1,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_noise_trader_2,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_noise_trader_3,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_value_contrarian_1,200,200,0,0.0,,
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,ragllm_value_contrarian_2,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,aggregate,,,,,0.0,0.0
AssetBubble__Rag,AssetBubble,Rag,ragllm_arbitrageur_1,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_arbitrageur_2,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_arbitrageur_3,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_conservative_1,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_conservative_2,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_leveraged_1,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_leveraged_2,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_leveraged_3,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_momentum_1,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_momentum_2,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_momentum_3,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_momentum_4,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_momentum_5,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_noise_1,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_noise_2,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_value_1,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_value_2,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_value_3,200,200,0,0.0,,
AssetBubble__Rag,AssetBubble,Rag,ragllm_value_4,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,aggregate,,,,,0.0,0.0
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_media_influenced_trader_1,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_media_influenced_trader_2,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_noise_trader_1,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_noise_trader_2,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_noise_trader_3,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_recent_event_overweighter_1,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_recent_event_overweighter_2,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_systematic_analyst,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_value_trader_1,200,200,0,0.0,,
AvailabilityBias__Rag,AvailabilityBias,Rag,ragllm_value_trader_2,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,aggregate,,,,,0.0,0.0
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_index_arbitrageur_1,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_index_arbitrageur_2,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_noise_trader_1,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_noise_trader_2,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_portfolio_insurer_1,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_portfolio_insurer_2,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_program_trader_1,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_program_trader_2,200,200,0,0.0,,
BlackMonday1987__Rag,BlackMonday1987,Rag,ragllm_value_investor,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,aggregate,,,,,0.0,0.0
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_carry_trader_1,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_carry_trader_2,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_funding_currency_buyer_1,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_funding_currency_buyer_2,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_hedged_carry_trader,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_leveraged_carry_fund_1,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_leveraged_carry_fund_2,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_noise_trader_1,200,200,0,0.0,,
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,ragllm_noise_trader_2,200,200,0,0.0,,
ConfirmationBias__Rag,ConfirmationBias,Rag,aggregate,,,,,0.0,0.0
ConfirmationBias__Rag,ConfirmationBias,Rag,ragllm_balanced_analyst,200,200,0,0.0,,
ConfirmationBias__Rag,ConfirmationBias,Rag,ragllm_belief_anchor_1,200,200,0,0.0,,
ConfirmationBias__Rag,ConfirmationBias,Rag,ragllm_belief_anchor_2,200,200,0,0.0,,
ConfirmationBias__Rag,ConfirmationBias,Rag,ragllm_contrarian_trader,200,200,0,0.0,,
ConfirmationBias__Rag,ConfirmationBias,Rag,ragllm_noise_trader_1,200,200,0,0.0,,
ConfirmationBias__Rag,ConfirmationBias,Rag,ragllm_noise_trader_2,200,200,0,0.0,,
ConfirmationBias__Rag,ConfirmationBias,Rag,ragllm_selective_scanner_1,200,200,0,0.0,,
ConfirmationBias__Rag,ConfirmationBias,Rag,ragllm_selective_scanner_2,200,200,0,0.0,,
CreditCycle__Rag,CreditCycle,Rag,aggregate,,,,,0.0,0.0
CreditCycle__Rag,CreditCycle,Rag,countercyclicallender,200,200,0,0.0,,
CreditCycle__Rag,CreditCycle,Rag,minskyborrower_1,200,200,0,0.0,,
CreditCycle__Rag,CreditCycle,Rag,minskyborrower_2,200,200,0,0.0,,
CreditCycle__Rag,CreditCycle,Rag,noisetrader,200,200,0,0.0,,
CreditCycle__Rag,CreditCycle,Rag,procyclicallender_1,200,200,0,0.0,,
CreditCycle__Rag,CreditCycle,Rag,procyclicallender_2,200,200,0,0.0,,
CreditCycle__Rag,CreditCycle,Rag,valueinvestor,200,200,0,0.0,,
CurrencyCrisis__Rag,CurrencyCrisis,Rag,aggregate,,,,,0.0,0.0
CurrencyCrisis__Rag,CurrencyCrisis,Rag,centralbankdefender,200,200,0,0.0,,
CurrencyCrisis__Rag,CurrencyCrisis,Rag,fundamentalhedger,200,200,0,0.0,,
CurrencyCrisis__Rag,CurrencyCrisis,Rag,noisetrader,200,200,0,0.0,,
CurrencyCrisis__Rag,CurrencyCrisis,Rag,selffulfillingtrader_1,200,200,0,0.0,,
CurrencyCrisis__Rag,CurrencyCrisis,Rag,selffulfillingtrader_2,200,200,0,0.0,,
CurrencyCrisis__Rag,CurrencyCrisis,Rag,speculativeattacker_1,200,200,0,0.0,,
CurrencyCrisis__Rag,CurrencyCrisis,Rag,speculativeattacker_2,200,200,0,0.0,,
DispositionEffect__Rag,DispositionEffect,Rag,context_payloads,,,,,,
DispositionEffect__Rag,DispositionEffect,Rag,fallback_payloads,,,,,,
DispositionEffect__Rag,DispositionEffect,Rag,fallback_rate,,,,,,
DispositionEffect__Rag,DispositionEffect,Rag,retrieval_rate,,,,,,
DispositionEffect__Rag,DispositionEffect,Rag,target_met,,,,,,
DispositionEffect__Rag,DispositionEffect,Rag,total_payloads,,,,,,
DotComBubble__Rag,DotComBubble,Rag,aggregate,,,,,0.0,0.0
DotComBubble__Rag,DotComBubble,Rag,ipoflipper_1,200,200,0,0.0,,
DotComBubble__Rag,DotComBubble,Rag,ipoflipper_2,200,200,0,0.0,,
DotComBubble__Rag,DotComBubble,Rag,momentumfollower_1,200,200,0,0.0,,
DotComBubble__Rag,DotComBubble,Rag,momentumfollower_2,200,200,0,0.0,,
DotComBubble__Rag,DotComBubble,Rag,neweconomyevangelist_1,200,200,0,0.0,,
DotComBubble__Rag,DotComBubble,Rag,neweconomyevangelist_2,200,200,0,0.0,,
DotComBubble__Rag,DotComBubble,Rag,shortseller,200,200,0,0.0,,
DotComBubble__Rag,DotComBubble,Rag,skepticalvalueinvestor,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,aggregate,,,,,0.0,0.0
EchoChamber__Rag,EchoChamber,Rag,ragllm_bridge_builder_1,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_bridge_builder_2,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_conformist_1,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_conformist_2,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_conformist_3,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_conformist_4,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_conformist_5,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_critical_thinker_1,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_critical_thinker_2,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_critical_thinker_3,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_ideologue_1,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_ideologue_2,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_ideologue_3,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_ideologue_4,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_ideologue_5,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_ideologue_6,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_passive_follower_1,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_passive_follower_2,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_passive_follower_3,200,200,0,0.0,,
EchoChamber__Rag,EchoChamber,Rag,ragllm_passive_follower_4,200,200,0,0.0,,
EndowmentEffect__Rag,EndowmentEffect,Rag,context_payloads,,,,,,
EndowmentEffect__Rag,EndowmentEffect,Rag,fallback_payloads,,,,,,
EndowmentEffect__Rag,EndowmentEffect,Rag,fallback_rate,,,,,,
EndowmentEffect__Rag,EndowmentEffect,Rag,retrieval_rate,,,,,,
EndowmentEffect__Rag,EndowmentEffect,Rag,total_payloads,,,,,,
EquityPremium__Rag,EquityPremium,Rag,aggregate,,,,,0.0,0.0
EquityPremium__Rag,EquityPremium,Rag,ragllm_institutional,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_long_term_1,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_long_term_2,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_myopic_1,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_myopic_2,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_myopic_3,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_myopic_4,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_myopic_5,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_rational_1,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_rational_2,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_risk_averse_1,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_risk_averse_2,200,200,0,0.0,,
EquityPremium__Rag,EquityPremium,Rag,ragllm_risk_averse_3,200,200,0,0.0,,
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,aggregate,,,,,0.0,0.0
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,corebondbuyer,200,200,0,0.0,,
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,creditorpanicker_1,200,200,0,0.0,,
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,creditorpanicker_2,200,200,0,0.0,,
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,ecbintervenor,200,200,0,0.0,,
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,hedgedfund,200,200,0,0.0,,
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,peripherybondseller_1,200,200,0,0.0,,
EuropeanDebtCrisis__Rag,EuropeanDebtCrisis,Rag,peripherybondseller_2,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,aggregate,,,,,0.0,0.0
FlashCrash__Rag,FlashCrash,Rag,ragllm_algo_1,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_algo_2,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_fundamental_1,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_fundamental_2,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_hft_1,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_hft_2,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_hft_3,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_market_maker_1,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_market_maker_2,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_market_maker_3,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_stop_loss_1,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_stop_loss_2,200,200,0,0.0,,
FlashCrash__Rag,FlashCrash,Rag,ragllm_stop_loss_3,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,aggregate,,,,,0.0,0.0
FlashCrash2010__Rag,FlashCrash2010,Rag,fundamentaltrader_1,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,fundamentaltrader_2,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,hftmarketmaker_1,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,hftmarketmaker_2,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,hftmarketmaker_3,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,momentumchaser_1,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,momentumchaser_2,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,noisetrader_1,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,noisetrader_2,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,stoplosstrader_1,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,stoplosstrader_2,200,200,0,0.0,,
FlashCrash2010__Rag,FlashCrash2010,Rag,stoplosstrader_3,200,200,0,0.0,,
FramingEffect__Rag,FramingEffect,Rag,fallback_rate,,,,,,
FramingEffect__Rag,FramingEffect,Rag,rag_context_observations,,,,,,
FramingEffect__Rag,FramingEffect,Rag,retrieval_success_rate,,,,,,
GFC2008__Rag,GFC2008,Rag,aggregate,,,,,0.0,0.0
GFC2008__Rag,GFC2008,Rag,distressedbuyer,200,200,0,0.0,,
GFC2008__Rag,GFC2008,Rag,leveragedinvestor_1,200,200,0,0.0,,
GFC2008__Rag,GFC2008,Rag,leveragedinvestor_2,200,200,0,0.0,,
GFC2008__Rag,GFC2008,Rag,mbsoriginator_1,200,200,0,0.0,,
GFC2008__Rag,GFC2008,Rag,mbsoriginator_2,200,200,0,0.0,,
GFC2008__Rag,GFC2008,Rag,ratingagency_1,200,200,0,0.0,,
GFC2008__Rag,GFC2008,Rag,ratingagency_2,200,200,0,0.0,,
GFC2008__Rag,GFC2008,Rag,regulator,200,200,0,0.0,,
GamblerFallacy__Rag,GamblerFallacy,Rag,fallback_rate,,,,,,
GamblerFallacy__Rag,GamblerFallacy,Rag,rag_context_observations,,,,,,
GamblerFallacy__Rag,GamblerFallacy,Rag,retrieval_success_rate,,,,,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,aggregate,,,,,0.0,0.0
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,institutionalvalue,200,200,0,0.0,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,marketmakergamma,200,200,0,0.0,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,momentumretail_1,200,200,0,0.0,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,momentumretail_2,200,200,0,0.0,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,retailcoordinated_1,200,200,0,0.0,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,retailcoordinated_2,200,200,0,0.0,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,retailcoordinated_3,200,200,0,0.0,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,shortsellerhf_1,200,200,0,0.0,,
GameStopShortSqueeze__Rag,GameStopShortSqueeze,Rag,shortsellerhf_2,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,aggregate,,,,,0.0,0.0
HerdEffect__Rag,HerdEffect,Rag,ragllm_aggressive_1,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_aggressive_2,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_contrarian_1,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_contrarian_2,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_momentum_1,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_momentum_2,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_momentum_3,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_noise_1,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_noise_2,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_risk_averse_1,200,200,0,0.0,,
HerdEffect__Rag,HerdEffect,Rag,ragllm_risk_averse_2,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,aggregate,,,,,0.0,0.0
HerdingInformation__Rag,HerdingInformation,Rag,cascadefollower_1,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,cascadefollower_2,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,cascadefollower_3,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,contrarian,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,independentthinker_1,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,independentthinker_2,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,noisetrader_1,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,noisetrader_2,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,reputationherder_1,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,reputationherder_2,200,200,0,0.0,,
HerdingInformation__Rag,HerdingInformation,Rag,reputationherder_3,200,200,0,0.0,,
HindsightBias__Rag,HindsightBias,Rag,fallback_rate,,,,,,
HindsightBias__Rag,HindsightBias,Rag,rag_context_observations,,,,,,
