sample_id,scenario,mechanism,duration_seconds,started_at,ended_at,rounds,source_run,runner,config
AnchoringEffect__Rule,AnchoringEffect,Rule,40.002,2026-05-22T03:43:00,2026-05-22T03:43:40,configured_full,samples/AnchoringEffect/Rule,examples/AnchoringEffect/Rule/run_anchoringeffect.py,samples/AnchoringEffect/Rule/config/simulation.yml
AnchoringEffect__LLM,AnchoringEffect,LLM,10180.556,2026-05-22T04:47:24,2026-05-22T07:37:04,configured_full,samples/AnchoringEffect/LLM,examples/AnchoringEffect/LLM/run_anchoringeffect_llm.py,samples/AnchoringEffect/LLM/config/simulation.yml
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,16070.899,2026-05-22T04:59:06,2026-05-22T09:26:57,configured_full,samples/AnchoringEffect/RuleLLM,examples/AnchoringEffect/RuleLLM/run_anchoringeffect_rulellm.py,samples/AnchoringEffect/RuleLLM/config/simulation.yml
AnchoringEffect__Rag,AnchoringEffect,Rag,16000.899,2026-05-22T05:10:09,2026-05-22T09:36:50,configured_full,samples/AnchoringEffect/Rag,examples/AnchoringEffect/Rag/run_anchoringeffect_rag.py,samples/AnchoringEffect/Rag/config/simulation.yml
ArchegosCollapse__Rule,ArchegosCollapse,Rule,40.003,2026-05-22T03:43:40,2026-05-22T03:44:20,configured_full,samples/ArchegosCollapse/Rule,examples/ArchegosCollapse/Rule/run_archegsoscollapse.py,samples/ArchegosCollapse/Rule/config/simulation.yml
ArchegosCollapse__LLM,ArchegosCollapse,LLM,3970.216,2026-05-23T16:18:39,2026-05-23T17:24:49,configured_full,samples/ArchegosCollapse/LLM,examples/ArchegosCollapse/LLM/run_archegsoscollapse_llm.py,samples/ArchegosCollapse/LLM/config/simulation.yml
ArchegosCollapse__RuleLLM,ArchegosCollapse,RuleLLM,2520.138,2026-05-23T01:16:04,2026-05-23T01:58:04,configured_full,samples/ArchegosCollapse/RuleLLM,examples/ArchegosCollapse/RuleLLM/run_archegsoscollapse_rulellm.py,samples/ArchegosCollapse/RuleLLM/config/simulation.yml
ArchegosCollapse__Rag,ArchegosCollapse,Rag,6820.389,2026-05-23T16:21:55,2026-05-23T18:15:35,configured_full,samples/ArchegosCollapse/Rag,examples/ArchegosCollapse/Rag/run_archegsoscollapse_rag.py,samples/ArchegosCollapse/Rag/config/simulation.yml
AsianFinancialCrisis__Rule,AsianFinancialCrisis,Rule,40.002,2026-05-22T03:44:20,2026-05-22T03:45:00,configured_full,samples/AsianFinancialCrisis/Rule,examples/AsianFinancialCrisis/Rule/run_asianfinancialcrisis_rule.py,samples/AsianFinancialCrisis/Rule/config/simulation.yml
AsianFinancialCrisis__LLM,AsianFinancialCrisis,LLM,3370.2,2026-05-23T01:58:14,2026-05-23T02:54:24,configured_full,samples/AsianFinancialCrisis/LLM,examples/AsianFinancialCrisis/LLM/run_asianfinancialcrisis_llm.py,samples/AsianFinancialCrisis/LLM/config/simulation.yml
AsianFinancialCrisis__RuleLLM,AsianFinancialCrisis,RuleLLM,3130.181,2026-05-23T17:24:59,2026-05-23T18:17:09,configured_full,samples/AsianFinancialCrisis/RuleLLM,examples/AsianFinancialCrisis/RuleLLM/run_asianfinancialcrisis_rulellm.py,samples/AsianFinancialCrisis/RuleLLM/config/simulation.yml
AsianFinancialCrisis__Rag,AsianFinancialCrisis,Rag,3200.216,2026-05-23T01:27:39,2026-05-23T02:20:59,configured_full,samples/AsianFinancialCrisis/Rag,examples/AsianFinancialCrisis/Rag/run_asianfinancialcrisis_rag.py,samples/AsianFinancialCrisis/Rag/config/simulation.yml
AssetBubble__Rule,AssetBubble,Rule,80.004,2026-05-22T03:45:00,2026-05-22T03:46:20,configured_full,samples/AssetBubble/Rule,examples/AssetBubble/Rule/run_bubble.py,samples/AssetBubble/Rule/config/simulation.yml
AssetBubble__LLM,AssetBubble,LLM,18870.997,2026-05-22T07:39:34,2026-05-22T12:54:05,configured_full,samples/AssetBubble/LLM,examples/AssetBubble/LLM/run_bubble_llm.py,samples/AssetBubble/LLM/config/simulation.yml
AssetBubble__RuleLLM,AssetBubble,RuleLLM,30781.708,2026-05-22T09:30:17,2026-05-22T18:03:19,configured_full,samples/AssetBubble/RuleLLM,examples/AssetBubble/RuleLLM/run_bubble_rulellm.py,samples/AssetBubble/RuleLLM/config/simulation.yml
AssetBubble__Rag,AssetBubble,Rag,36482.073,2026-05-22T09:41:40,2026-05-22T19:49:42,configured_full,samples/AssetBubble/Rag,examples/AssetBubble/Rag/run_bubble_ragllm.py,samples/AssetBubble/Rag/config/simulation.yml
AvailabilityBias__Rule,AvailabilityBias,Rule,40.003,2026-05-22T03:46:20,2026-05-22T03:47:00,configured_full,samples/AvailabilityBias/Rule,examples/AvailabilityBias/Rule/run_availabilitybias.py,samples/AvailabilityBias/Rule/config/simulation.yml
AvailabilityBias__LLM,AvailabilityBias,LLM,7970.46,2026-05-22T12:54:05,2026-05-22T15:06:56,configured_full,samples/AvailabilityBias/LLM,examples/AvailabilityBias/LLM/run_availabilitybias_llm.py,samples/AvailabilityBias/LLM/config/simulation.yml
