experiment_id,scenario,mechanism,status,sample_dir,source_run,rounds,duration_seconds,started_at,ended_at,issue_type,last_observed,next_action,config,runner,notes,quality_status,quality_reason,analysis_status,analysis_missing_items
AnchoringEffect__Rule,AnchoringEffect,Rule,runtime_success_full_200_level2_audited,samples/AnchoringEffect/Rule,samples/AnchoringEffect/Rule,configured_full,40.002,2026-05-22T03:43:00,2026-05-22T03:43:40,,,,samples/AnchoringEffect/Rule/config/simulation.yml,examples/AnchoringEffect/Rule/run_anchoringeffect.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AnchoringEffect__LLM,AnchoringEffect,LLM,runtime_success_full_200_level2_audited,samples/AnchoringEffect/LLM,samples/AnchoringEffect/LLM,configured_full,10180.556,2026-05-22T04:47:24,2026-05-22T07:37:04,,,,samples/AnchoringEffect/LLM/config/simulation.yml,examples/AnchoringEffect/LLM/run_anchoringeffect_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AnchoringEffect__RuleLLM,AnchoringEffect,RuleLLM,runtime_success_full_200_level2_audited,samples/AnchoringEffect/RuleLLM,samples/AnchoringEffect/RuleLLM,configured_full,16070.899,2026-05-22T04:59:06,2026-05-22T09:26:57,,,,samples/AnchoringEffect/RuleLLM/config/simulation.yml,examples/AnchoringEffect/RuleLLM/run_anchoringeffect_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AnchoringEffect__Rag,AnchoringEffect,Rag,runtime_success_full_200_level2_audited,samples/AnchoringEffect/Rag,samples/AnchoringEffect/Rag,configured_full,16000.899,2026-05-22T05:10:09,2026-05-22T09:36:50,,,,samples/AnchoringEffect/Rag/config/simulation.yml,examples/AnchoringEffect/Rag/run_anchoringeffect_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
ArchegosCollapse__Rule,ArchegosCollapse,Rule,runtime_success_full_200_level2_audited,samples/ArchegosCollapse/Rule,samples/ArchegosCollapse/Rule,configured_full,40.003,2026-05-22T03:43:40,2026-05-22T03:44:20,,,,samples/ArchegosCollapse/Rule/config/simulation.yml,examples/ArchegosCollapse/Rule/run_archegsoscollapse.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
ArchegosCollapse__LLM,ArchegosCollapse,LLM,runtime_success_full_200_level2_audited,samples/ArchegosCollapse/LLM,samples/ArchegosCollapse/LLM,configured_full,3970.216,2026-05-23T16:18:39,2026-05-23T17:24:49,,,,samples/ArchegosCollapse/LLM/config/simulation.yml,examples/ArchegosCollapse/LLM/run_archegsoscollapse_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
ArchegosCollapse__RuleLLM,ArchegosCollapse,RuleLLM,runtime_success_full_200_level2_audited,samples/ArchegosCollapse/RuleLLM,samples/ArchegosCollapse/RuleLLM,configured_full,2520.138,2026-05-23T01:16:04,2026-05-23T01:58:04,,,,samples/ArchegosCollapse/RuleLLM/config/simulation.yml,examples/ArchegosCollapse/RuleLLM/run_archegsoscollapse_rulellm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
ArchegosCollapse__Rag,ArchegosCollapse,Rag,runtime_success_full_200_level2_audited,samples/ArchegosCollapse/Rag,samples/ArchegosCollapse/Rag,configured_full,6820.389,2026-05-23T16:21:55,2026-05-23T18:15:35,,,,samples/ArchegosCollapse/Rag/config/simulation.yml,examples/ArchegosCollapse/Rag/run_archegsoscollapse_rag.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AsianFinancialCrisis__Rule,AsianFinancialCrisis,Rule,runtime_success_full_200_level2_audited,samples/AsianFinancialCrisis/Rule,samples/AsianFinancialCrisis/Rule,configured_full,40.002,2026-05-22T03:44:20,2026-05-22T03:45:00,,,,samples/AsianFinancialCrisis/Rule/config/simulation.yml,examples/AsianFinancialCrisis/Rule/run_asianfinancialcrisis_rule.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
AsianFinancialCrisis__LLM,AsianFinancialCrisis,LLM,runtime_success_full_200_level2_audited,samples/AsianFinancialCrisis/LLM,samples/AsianFinancialCrisis/LLM,configured_full,3370.2,2026-05-23T01:58:14,2026-05-23T02:54:24,,,,samples/AsianFinancialCrisis/LLM/config/simulation.yml,examples/AsianFinancialCrisis/LLM/run_asianfinancialcrisis_llm.py,Matrix runner SUCCESS with isolated config/artifacts accepted as a runtime sample after simulation-180 Level-2 audit. Analysis artifacts are audited separately.,accepted,,analysis_complete,
